threshold,tp,fp,fn,tn,precision,recall,f1
0.0001,1252,22863,0,65351,0.05191789342732739,1.0,0.09871092364095084
0.00011253,1252,21924,0,66290,0.05402140144977563,1.0,0.10250532176191254
0.00012664,1252,20979,0,67235,0.05631775448697764,1.0,0.10663032832261635
0.00014251,1252,20118,0,68096,0.05858680393074403,1.0,0.11068871010520731
0.00016037,1252,19364,0,68850,0.06072953046177726,1.0,0.1145052130967624
0.00018047,1252,18630,0,69584,0.06297153203903028,1.0,0.1184820668117725
0.00020309,1252,17962,0,70252,0.06516082023524514,1.0,0.12234926219095085
0.00022855,1252,17320,0,70894,0.06741331035968125,1.0,0.12631154156577887
0.00025719,1252,16691,0,71523,0.06977651451819651,1.0,0.13045063818702787
0.00028943,1252,16082,0,72132,0.0722279912311065,1.0,0.1347250618745292
0.0003257,1252,15515,0,72699,0.07467048368819705,1.0,0.1389644264387591
0.00036652,1252,14961,0,73253,0.0772219823598347,1.0,0.1433724592041225
0.00041246,1252,14443,0,73771,0.07977062758840395,1.0,0.14775476485513658
0.00046416,1252,13967,0,74247,0.0822655890662987,1.0,0.15202477080930119
0.00052233,1252,13526,0,74688,0.08472053051833807,1.0,0.15620711166562695
0.0005878,1252,13138,0,75076,0.08700486448922863,1.0,0.1600818309679069
0.00066147,1252,12798,0,75416,0.08911032028469751,1.0,0.1636387400339825
0.00074438,1252,12433,0,75781,0.09148702959444648,1.0,0.1676374104572538
0.00083768,1252,12080,0,76134,0.09390939093909391,1.0,0.17169500822819528
0.00094267,1252,11743,0,76471,0.0963447479799923,1.0,0.17575629957183966
0.00106082,1252,11408,0,76806,0.09889415481832543,1.0,0.17998849913743528
0.00119378,1252,11090,0,77124,0.10144222978447577,1.0,0.18419891128439017
0.0013434,1252,10800,0,77414,0.10388317291735812,1.0,0.18821407095610343
0.00151178,1252,10498,0,77716,0.1065531914893617,1.0,0.1925857560375327
0.00170125,1252,10230,0,77984,0.10904023689252744,1.0,0.1966389194283022
0.00191448,1252,9982,0,78232,0.11144739184618123,1.0,0.20054460996315873
0.00215443,1252,9755,0,78459,0.11374579812846371,1.0,0.2042580960926666
0.00242446,1252,9522,0,78692,0.11620568034156302,1.0,0.20821553301180776
0.00272833,1252,9290,0,78924,0.11876304306583191,1.0,0.21231134475156857
0.00307029,1252,9092,0,79122,0.12103634957463263,1.0,0.21593652983787512
0.00345511,1252,8916,0,79298,0.12313139260424863,1.0,0.21926444833625222
0.00388816,1252,8719,0,79495,0.1255641359943837,1.0,0.22311324957676198
0.00437548,1252,8513,0,79701,0.12821300563236046,1.0,0.22728510483797765
0.00492388,1252,8332,0,79882,0.13063439065108515,1.0,0.23108157991878922
0.00554102,1252,8169,0,80045,0.13289459717652055,1.0,0.23461069989693623
0.00623551,1252,8009,0,80205,0.13519058417017601,1.0,0.23818129934366977
0.00701704,1252,7851,0,80363,0.13753707568933318,1.0,0.24181554804442296
0.00789652,1252,7703,0,80511,0.1398101619207147,1.0,0.2453218379543451
0.00888624,1252,7553,0,80661,0.14219193639977284,1.0,0.24898080938649697
0.01,1252,7379,0,80835,0.14505851002201367,1.0,0.2533643630476576
0.01616352,1252,6751,0,81463,0.15644133449956266,1.0,0.27055645596974603
0.02232704,1252,6336,0,81878,0.16499736425935688,1.0,0.2832579185520362
0.02849057,1252,6034,0,82180,0.171836398572605,1.0,0.2932771140782385
0.03465409,1252,5765,0,82449,0.1784238278466581,1.0,0.30281775305357356
0.04081761,1252,5524,0,82690,0.1847697756788666,1.0,0.31190832087693077
0.04698113,1252,5355,0,82859,0.1894959891024671,1.0,0.318615599949103
0.05314465,1252,5179,0,83035,0.1946820090188151,1.0,0.3259143563712092
0.05930818,1252,5046,0,83168,0.19879326770403302,1.0,0.33165562913907287
0.0654717,1252,4928,0,83286,0.20258899676375405,1.0,0.3369214208826696
0.07163522,1252,4826,0,83388,0.20598881210924647,1.0,0.34160982264665757
