conjunto,cenario_features,modelo,threshold,precision_fraude,recall_fraude,f1_fraude,auprc,roc_auc,fp,fn,tp,tn,custo_total,tempo_medio_ms_por_transacao,tempo_p95_ms_por_transacao,tempo_treino_segundos,accuracy
teste,completo,Regressão Logística - class_weight - threshold otimizado F1,0.06,1.0,0.9992012779552716,0.9996004794246903,0.999215975408203,0.9993952859047172,0,1,1251,88214,500,0.0005521414400027425,0.0010407998600021526,69.29576574599992,0.9999888225694678
teste,completo,LightGBM - scale_pos_weight - threshold otimizado F1,0.001,1.0,0.9992012779552716,0.9996004794246903,0.9999968229035612,0.9999999547281585,0,1,1251,88214,500,0.002545906740001556,0.0027895753800044076,4.395643919999998,0.9999888225694678
teste,completo,LightGBM + SMOTE - threshold otimizado F1,0.003,0.9992012779552716,0.9992012779552716,0.9992012779552716,0.9999398303924947,0.999999076454434,1,1,1251,88213,510,0.004131125179999344,0.00518044811999971,5.337387016999969,0.9999776451389355
teste,completo,Random Forest - class_weight - threshold otimizado F1,0.19999999999999998,0.9976095617529881,1.0,0.9988033506182689,0.9999980907042756,0.9999999728368951,3,0,1252,88211,30,0.007304548839999825,0.00801806074000524,9.733618244000013,0.9999664677084031
teste,completo,XGBoost - scale_pos_weight - threshold otimizado F1,0.02,0.9984038308060654,0.9992012779552716,0.9988023952095808,0.9999980907042756,0.9999999728368951,2,1,1251,88212,520,0.0013477611400003297,0.0019324858800018774,2.970060072000024,0.9999664677084031
teste,completo,XGBoost + SMOTE - threshold otimizado F1,0.7200000000000001,0.9984038308060654,0.9992012779552716,0.9988023952095808,0.9999886795300748,0.9999998370213706,2,1,1251,88212,520,0.001905554459999621,0.0022958315799996853,1.4904921150000519,0.9999664677084031
teste,completo,Random Forest + SMOTE - threshold otimizado F1,0.44,1.0,0.9976038338658147,0.9988004798080767,0.9998914090801853,0.9999982162894461,0,3,1249,88214,1500,0.008313759499999377,0.012608055159998912,1.3709837119999975,0.9999664677084031
teste,sem_pos_transacao,LightGBM - scale_pos_weight - threshold otimizado F1,0.99,0.8959537572254336,0.8666134185303515,0.881039382866423,0.9542900289436035,0.9989681460804255,126,167,1085,88088,84760,0.0027854550999973074,0.002855679979998058,2.5024452210000163,0.9967250128540451
teste,sem_pos_transacao,XGBoost - scale_pos_weight - threshold otimizado F1,0.99,0.9183318853171155,0.8442492012779552,0.8797336662505202,0.9569827556568197,0.9992163444241136,94,195,1057,88120,98440,0.000980949040001633,0.0011436061400013386,1.7832109629999877,0.9967697225761742
teste,sem_pos_transacao,XGBoost + SMOTE - threshold otimizado F1,0.98,0.9531996179560649,0.7971246006389776,0.86820356676816,0.9497610592179813,0.9989982382734522,49,254,998,88165,127490,0.0012519216400028199,0.0017151161200035857,1.3484022640000148,0.9966132385487224
teste,sem_pos_transacao,LightGBM + SMOTE - threshold otimizado F1,0.99,0.8272859216255443,0.9105431309904153,0.8669201520912547,0.9585461929586464,0.999175771799786,238,112,1140,87976,58380,0.002681268600003932,0.0030264285000043854,1.705187379999984,0.9960878993137058
teste,sem_pos_transacao,Random Forest - class_weight - threshold otimizado F1,0.9400000000000001,0.9058823529411765,0.799520766773163,0.8493848112006789,0.9096162220702017,0.997441122340379,104,251,1001,88110,126540,0.01250906530000293,0.01472547866000923,8.081143322999992,0.9960320121610444
teste,sem_pos_transacao,Random Forest + SMOTE - threshold otimizado F1,0.88,0.9127906976744186,0.7523961661341853,0.8248686514886164,0.8716314796086698,0.9945236328429028,90,310,942,88124,155900,0.007368788079998012,0.007681468179996501,1.2267711040000222,0.9955290277870923
teste,sem_pos_transacao,Regressão Logística - class_weight - threshold otimizado F1,0.9400000000000001,0.7126673532440783,0.5527156549520766,0.6225820962663068,0.6593206691927962,0.9707415060427768,279,560,692,87935,282790,0.0002694461800001591,0.0003647668000030535,52.935958569000036,0.9906221357834261
teste,completo,Baseline regra type + amount,1288826.6167307687,0.3103448275862069,0.28753993610223644,0.29850746268656714,0.09920679992858168,0.6392355404092472,800,892,360,87414,454000,0.0,0.0,,0.9810877875394004
teste,sem_pos_transacao,Baseline regra type + amount,1288826.6167307687,0.3103448275862069,0.28753993610223644,0.29850746268656714,0.09920679992858168,0.6392355404092472,800,892,360,87414,454000,0.0,0.0,,0.9810877875394004
teste,completo,Baseline tudo legítimo,1.0,0.0,0.0,0.0,0.01399414302640109,0.5,0,1252,0,88214,626000,0.0,0.0,,0.9860058569735989
teste,sem_pos_transacao,Baseline tudo legítimo,1.0,0.0,0.0,0.0,0.01399414302640109,0.5,0,1252,0,88214,626000,0.0,0.0,,0.9860058569735989
